id,nombre,correo,numeroFactura,tipoMembresia,fechaPago,montoPagado
1098765432,María Ruiz,maria.ruiz@gimnacio.com,FAC-23653,Oro,23/03/2022,60000.0
1203948576,Pedro Sánchez,pedro.sanchez@ejemplo.com,FAC-87582,Plata,01/11/2024,45000.0
1738495021,Andrés Mejía,andres.mejia@gimnacio.com,FAC-33600,Oro,11/06/2024,60000.0
1023945871,Carlos Pérez,carlos.perez@gimnacio.com,FAC-54042,Oro,24/06/2024,60000.0
1403985726,Raúl Martínez,raul.martinez@ejemplo.com,FAC-17302,Oro,10/01/2022,60000.0
1357892465,Luis Torres,luis.torres@ejemplo.com,FAC-28089,Bronce,07/07/2023,30000.0
1987654321,Lucía Fernández,lucia.fernandez@ejemplo.com,FAC-33201,Bronce,20/08/2024,30000.0
1403985726,Raúl Martínez,raul.martinez@ejemplo.com,FAC-35064,Oro,24/03/2022,60000.0
1098765432,María Ruiz,maria.ruiz@gimnacio.com,FAC-94904,Oro,12/04/2022,60000.0
1738495021,Andrés Mejía,andres.mejia@gimnacio.com,FAC-37402,Oro,07/05/2022,60000.0
1098765432,María Ruiz,maria.ruiz@gimnacio.com,FAC-69116,Oro,16/12/2024,60000.0
1203948576,Pedro Sánchez,pedro.sanchez@ejemplo.com,FAC-70352,Plata,02/10/2023,45000.0
1023945871,Carlos Pérez,carlos.perez@gimnacio.com,FAC-88577,Oro,02/07/2022,60000.0
1548739206,Laura Díaz,laura.diaz@ejemplo.com,FAC-62455,Bronce,02/10/2022,30000.0
1098765432,María Ruiz,maria.ruiz@gimnacio.com,FAC-84779,Oro,04/12/2023,60000.0
1357892465,Luis Torres,luis.torres@ejemplo.com,FAC-34631,Bronce,17/01/2022,30000.0
1823456903,Ana Gómez,ana.gomez@ejemplo.com,FAC-49958,Plata,18/05/2023,45000.0
1823456903,Ana Gómez,ana.gomez@ejemplo.com,FAC-61076,Plata,04/05/2024,45000.0
1823456903,Ana Gómez,ana.gomez@ejemplo.com,FAC-90554,Plata,30/07/2022,45000.0
1548739206,Laura Díaz,laura.diaz@ejemplo.com,FAC-80117,Bronce,09/04/2022,30000.0
1098765432,María Ruiz,maria.ruiz@gimnacio.com,FAC-20160,Oro,16/10/2023,60000.0
1738495021,Andrés Mejía,andres.mejia@gimnacio.com,FAC-18235,Oro,12/04/2024,60000.0
1738495021,Andrés Mejía,andres.mejia@gimnacio.com,FAC-85859,Oro,28/09/2024,60000.0
1098765432,María Ruiz,maria.ruiz@gimnacio.com,FAC-42292,Oro,25/05/2023,60000.0
1738495021,Andrés Mejía,andres.mejia@gimnacio.com,FAC-79376,Oro,03/05/2024,60000.0
1098765432,María Ruiz,maria.ruiz@gimnacio.com,FAC-14484,Oro,03/05/2022,60000.0
1357892465,Luis Torres,luis.torres@ejemplo.com,FAC-39768,Bronce,22/03/2023,30000.0
1203948576,Pedro Sánchez,pedro.sanchez@ejemplo.com,FAC-94826,Plata,24/12/2024,45000.0
1023945871,Carlos Pérez,carlos.perez@gimnacio.com,FAC-57919,Oro,30/07/2023,60000.0
1548739206,Laura Díaz,laura.diaz@ejemplo.com,FAC-50644,Bronce,14/08/2023,30000.0
1738495021,Andrés Mejía,andres.mejia@gimnacio.com,FAC-88016,Oro,25/11/2024,60000.0
1023945871,Carlos Pérez,carlos.perez@gimnacio.com,FAC-69136,Oro,16/03/2022,60000.0
1657384920,Sara López,sara.lopez@ejemplo.com,FAC-23193,Plata,21/01/2024,45000.0
1203948576,Pedro Sánchez,pedro.sanchez@ejemplo.com,FAC-34033,Plata,07/07/2024,45000.0
1738495021,Andrés Mejía,andres.mejia@gimnacio.com,FAC-16758,Oro,14/11/2023,60000.0
1098765432,María Ruiz,maria.ruiz@gimnacio.com,FAC-52471,Oro,30/01/2023,60000.0
1098765432,María Ruiz,maria.ruiz@gimnacio.com,FAC-40097,Oro,06/05/2023,60000.0
1203948576,Pedro Sánchez,pedro.sanchez@ejemplo.com,FAC-27196,Plata,14/03/2023,45000.0
1357892465,Luis Torres,luis.torres@ejemplo.com,FAC-62843,Bronce,14/10/2022,30000.0
1987654321,Lucía Fernández,lucia.fernandez@ejemplo.com,FAC-58791,Bronce,08/11/2023,30000.0
1203948576,Pedro Sánchez,pedro.sanchez@ejemplo.com,FAC-56156,Plata,17/09/2024,45000.0
1403985726,Raúl Martínez,raul.martinez@ejemplo.com,FAC-66600,Oro,27/01/2022,60000.0
1357892465,Luis Torres,luis.torres@ejemplo.com,FAC-98617,Bronce,13/04/2022,30000.0
1548739206,Laura Díaz,laura.diaz@ejemplo.com,FAC-11129,Bronce,20/01/2023,30000.0
1987654321,Lucía Fernández,lucia.fernandez@ejemplo.com,FAC-19166,Bronce,10/05/2022,30000.0
1098765432,María Ruiz,maria.ruiz@gimnacio.com,FAC-13997,Oro,19/07/2023,60000.0
